"Ctl-1"	"Ctl-2"	"Ctl-3"	"Mub-1"	"Mub-2"	"Mub-3"
"A1BG"	0.716458461954922	0.620409271735568	0.630211804076768	0.967818758913858	0.700491193495369	0.941939031371403
"A1BG-AS1"	3.70170205343376	4.02196355469955	3.4118363186225	3.36632611796124	2.63214872707351	3.19105875933986
"A2M"	0.66869456449126	1.04827773500148	0.73886901167621	1.66212352074336	1.57079843389871	1.48018990644078
"A4GALT"	0.66869456449126	0.4706553095925	0.195582973678997	0.462869841219671	0.742945205222361	0.768929821527676
"AAAS"	87.5034601534278	83.2204161052194	89.7291220356198	76.5208005689065	73.2119432231978	70.1648462144005
"AACS"	36.3483259698463	33.0528387872915	36.5305531949326	34.5679613238145	37.317076308026	33.8329121472178
"AADAT"	20.3951842169834	18.7192452678835	16.9505243855131	16.7895515133317	14.4131369813138	16.3013122163867
"AAGAB"	64.9827824993114	71.753541289693	74.5171129716978	64.1285125471617	68.1811428335492	71.0875620002337
"AAK1"	49.2445782850349	58.2756846968168	57.9360230920229	71.9552207714216	71.938322871388	74.4131834783409
"AAMDC"	3.72558400216559	3.80802932306659	3.30317911102306	2.50370505023368	3.1840508795244	3.61397016118008
"AAMP"	114.322888579274	105.041707731781	106.918692277852	105.134572571577	108.724724032827	106.881245192347
"AANAT"	0.33434728224563	0.128360538979773	0.347703064318217	0.37871168827064	0.31840508795244	0.211455700920111
"AAR2"	58.1047812645441	55.1308514918124	63.8252437439126	56.3018043229018	62.1102191565894	59.303712485322
"AARS1"	398.231495103277	390.643906961775	391.448456097752	658.390270058508	659.480618167094	650.187833838265
"AARS2"	48.671411515471	46.1456137632283	46.396627644962	42.8575393892941	40.5860352110044	38.5810537951512
"AARSD1"	4.29875077172953	3.40155428296398	3.02067037126451	4.64973795043397	1.95288453944163	3.47940744241274
"AASDH"	11.2722798014241	11.9803169714455	9.82261156698962	12.4974857129311	11.7385342425133	12.8411280195122
"AASDHPPT"	73.8191035300888	67.9027251202998	73.0828378313852	61.6037679586908	68.3934128921842	77.0852146081495
"AASS"	216.227163817995	221.400536316945	207.991626786853	212.98324557576	199.703671163771	219.12577588985
"AATBC"	0.477638974636614	0.342294770612727	0.0869257660795542	0.315593073558867	0.509448140723904	0.422911401840222
"AATF"	123.159209610051	128.01824420916	127.324515865027	117.653097822745	119.890129117026	119.337908301095
"AATK"	6.94964708096274	6.63196118062159	8.47526219275653	9.57298989795229	8.80920743335085	9.34249733156127
"ABAT"	137.034621823245	128.660046904059	138.125042300412	100.316518315245	104.564230883581	102.017764071184
"ABCA1"	3.89275764328841	4.55679913378193	4.38975118701749	8.01606406839521	7.72663013431255	6.84347541159632
"ABCA10"	0.644812615759429	0.342294770612727	0.325971622798328	0.56806753240596	0.339632093815936	0.519027629531181
"ABCA11P"	0.501520923368445	0.89852377285841	0.543286037997214	0.694304761829507	0.785399216949353	0.865046049218636
"ABCA12"	0.310465333513799	0.320901347449432	0.478091713437548	0.37871168827064	0.509448140723904	0.346018419687454
"ABCA15P"	0.238819487318307	0.406475040102614	0.260777298238662	0.483909379456929	0.42454011726992	0.0384464910763838
"ABCA17P"	0.477638974636614	0.492048732755796	0.717137570156322	1.36756998542176	0.700491193495369	0.442134647378414
"ABCA2"	156.402882244759	153.412237503992	149.099420267955	158.869553229533	156.931254348826	140.906389794947
"ABCA3"	185.992616723498	188.369090952817	201.993748927364	219.842135041107	218.086258241558	205.93862945065
"ABCA4"	0.191055589854646	0.213934231632955	0.260777298238662	0.252474458847093	0.254724070361952	0.307571928611071
"ABCA5"	8.04821672262695	8.9424508822575	8.95335390619408	8.58413160080117	6.77141487045523	9.38094382263765
"ABCA7"	18.198044933655	15.8739199871652	17.0809130346324	10.6670458862897	9.10638551543979	9.30405084048488
"ABCA8"	4.70474390017065	3.89360301571977	4.04204812269927	3.87127503565543	3.26895890297839	4.19066752732584
"ABCA9"	0.429875077172953	0.256721077959546	0.217314415198885	0.56806753240596	0.360859099679432	0.326795174149262
"ABCB10"	39.0469861765432	37.2459497272974	38.3342628410834	29.5395116851099	27.5738806166813	33.4100007453775
"ABCB6"	14.8306901624669	13.0072012832836	14.1471684294474	14.0964906189627	10.3800058672496	12.3797701265956
"ABCB7"	43.7756120254457	41.1181593198539	44.8319638555301	44.6879792159355	43.3879999849859	43.4637581618519
"ABCB8"	84.2793970746306	80.2467302855213	86.6215258982757	72.6284859950138	64.8272759071168	57.4582809136556
"ABCB9"	9.29007805668215	9.04941799807398	8.3448735436372	7.13240346243039	7.21718199358865	7.11260084913101
"ABCC1"	29.9001998122521	31.5125123195342	33.5533457067079	36.3142429975069	41.2652993986363	37.062417397634
"ABCC10"	23.4043097571941	23.2118641321756	21.6662471953289	22.0494360726461	19.8260234765053	20.1075148329487
"ABCC11"	0.620930667027599	0.727376387552046	0.869257660795542	0.988858297151116	0.679264187631873	0.384464910763838
"ABCC2"	0.33434728224563	0.513442155919091	0.695406128636433	0.673265223592249	0.360859099679432	0.49980438399299
"ABCC3"	0.33434728224563	0.513442155919091	0.456360271917659	0.9467792206766	1.44343639871773	1.4225201698262
"ABCC4"	66.2007618846347	68.6728883541784	66.0418507789413	60.888423658624	66.589117393787	62.4563247535855
"ABCC5"	65.3887756277525	63.3673194096812	60.2612873346509	71.1977973948803	61.239911916186	67.8772799953556
"ABCC6"	0.405993128441122	0.342294770612727	0.239045856718774	0.273513997084351	0.488221134860408	0.576697366145757
"ABCC6P1"	0.358229230977461	0.23532765479625	0.347703064318217	0.37871168827064	0.5306751465874	0.230678946458303
"ABCC8"	3.94052154075207	3.97917670837296	2.95547604670484	3.70295872975737	3.2052778853879	4.17144428178764
"ABCD1"	11.2722798014241	9.32753249919682	8.64911372491564	9.50987128324052	9.74319569134467	7.88153067065868
"ABCD2"	5.30179261846642	6.82450198909125	7.34522723372233	3.2400888885377	4.2454011726992	5.20949954085001
"ABCD3"	113.009381399023	116.423008854654	118.89271655531	95.0566337559306	101.741039103736	107.59250527726
"ABCD4"	47.6683696687341	44.455533333328	44.9623525046494	55.9230926346312	48.3126653453169	46.7124866578063
"ABCE1"	158.982132707797	154.952563971749	149.186346034035	142.921583245692	148.801311103107	159.072356828538
"ABCF1"	131.661183358583	135.61290943213	139.472391674645	123.649366220364	123.56240113141	123.259450390886
"ABCF2"	53.0179261846642	49.2476601219062	53.9809007354031	52.0307780607385	54.2562269870958	50.8262612029794
"ABCF3"	78.7865488663095	78.3213222008247	79.8413161440705	79.25594053975	79.1979588767036	72.8945470808237
"ABCG1"	0.692576513223091	0.770163233878637	0.391165947357994	0.294553535321609	0.509448140723904	0.0961162276909595
"ABCG2"	1.81502810361913	2.01098177734977	1.71678388007119	1.26237229423547	1.65570645735269	1.69164560736089
"ABCG4"	1.05080574420055	0.919917196021705	0.804063336235876	1.40964906189627	1.46466340458123	1.36485043321163
"ABHD1"	0.429875077172953	0.492048732755796	0.369434505838105	1.00989783538837	0.360859099679432	0.615143857222141
"ABHD10"	77.9267987119636	75.6685377285761	73.5391981033028	59.9206048997101	63.1078884321737	70.2609624420914
