pathway	pval	padj	log2err	ES	NES	size	leadingEdge
CELLULAR RESPONSE TO STARVATION%REACTOME DATABASE ID RELEASE 93%9711097	2.3710297211695585e-13	3.0717313992941415e-11	0.932595211336209	0.6111636918680454	2.464200668018665	146	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 93%9633012	5.33028639536805e-12	5.70456520095585e-10	0.8870749883998732	0.6543963188195501	2.4645999200493853	97	
PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	3.487232238540396e-10	2.8376271587329535e-8	0.8140358378479079	0.6589311186674134	2.3893137725043654	79	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.3	4.0298484547583194e-10	3.202691407031728e-8	0.8140358378479079	0.6221094040175454	2.3430003245883286	97	
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	4.065980356276315e-10	3.202691407031728e-8	0.8140358378479079	0.6572912650906462	2.3833675899294944	79	
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	4.065980356276315e-10	3.202691407031728e-8	0.8140358378479079	0.6573250573069898	2.3834901220206732	79	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	4.3757603021711557e-10	3.41934412183946e-8	0.8140358378479079	0.657097229753729	2.3826640091003077	79	
PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	4.453205383214492e-10	3.452461433317314e-8	0.8140358378479079	0.6568982336285476	2.381942440230511	79	
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	4.685540823304897e-10	3.548756534327694e-8	0.8012155746177786	0.656372410032672	2.3800357803021197	79	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	4.685540823304897e-10	3.548756534327694e-8	0.8012155746177786	0.6563522725752313	2.3799627609787892	79	
PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	4.762986030318386e-10	3.556633301190845e-8	0.8012155746177786	0.6561103109658968	2.3790853973375494	79	
PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	4.840431265077933e-10	3.556633301190845e-8	0.8012155746177786	0.6560479956599743	2.378859439245026	79	
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	4.840431265077933e-10	3.556633301190845e-8	0.8012155746177786	0.6560479956599743	2.378859439245026	79	
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	4.840431265077933e-10	3.556633301190845e-8	0.8012155746177786	0.6559363782161862	2.3784547093906614	79	
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	4.917876526272915e-10	3.560397961594347e-8	0.8012155746177786	0.6558207358775592	2.378035385087197	79	
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	5.150212456546452e-10	3.7013862662157934e-8	0.8012155746177786	0.6549601554354942	2.374914881829236	79	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.5	6.515415332074785e-10	4.615163982705636e-8	0.8012155746177786	0.6043344353488505	2.3011424893035968	107	
PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	7.396133873582525e-10	5.1647045474676275e-8	0.8012155746177786	0.6529146612716862	2.367497828303144	79	
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	8.327772204029162e-10	5.7339332252357434e-8	0.8012155746177786	0.6523988966567258	2.365627642690439	79	
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	9.261702147361606e-10	6.332688843258498e-8	0.8012155746177786	0.6510961962588938	2.3609039926550888	79	
PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	9.4173573735893e-10	6.350911006873989e-8	0.7881868108002371	0.6507540189942882	2.3596632425557256	79	
