pathway,pval,padj,log2err,ES,NES,size,leadingEdge
10Q11 21Q11 23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5352%HOMO SAPIENS,0.3722466960352423,0.6455446837120347,0.10135074379709887,-0.32676362529056363,-1.0476489612224065,37,
10Q22Q23 COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5402%HOMO SAPIENS,0.5109489051094891,0.7750019428851546,0.07325586558284547,0.3164322579420071,0.9742505050469208,37,
11P11 2 COPY NUMBER VARIATION SYNDROME %WIKIPATHWAYS_20250810%WP5348%HOMO SAPIENS,0.6858407079646017,0.8907272027702962,0.06815134386794833,-0.2706993747857146,-0.8787397400454319,38,
13Q12 12 COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5406%HOMO SAPIENS,0.0312745420304851,0.1654870052584526,0.3217759180753611,0.5457147032476526,1.553819231549653,24,
15Q11Q13 COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5407%HOMO SAPIENS,0.7145922746781116,0.9052079834956581,0.06464845684219278,-0.2715520007785307,-0.8545591474815042,33,
15Q25 COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5408%HOMO SAPIENS,0.4377358490566038,0.7081256137565032,0.083129129135339,0.34742884146244357,1.0287358877289705,30,
16P11 2 DISTAL DELETION SYNDROME%WIKIPATHWAYS_20250810%WP4950%HOMO SAPIENS,0.6117424242424242,0.8430552006133402,0.06613262047584399,0.3224216946902064,0.8832094691436616,20,
16P11 2 PROXIMAL DELETION SYNDROME%WIKIPATHWAYS_20250810%WP4949%HOMO SAPIENS,0.7494356659142212,0.923901862864761,0.06479433660007268,-0.24697106257952198,-0.8597290699655854,51,
16P12 2 COPY NUMBER VARIATION SYNDROME 520KB %WIKIPATHWAYS_20250810%WP5510%HOMO SAPIENS,0.30580357142857145,0.5838641384388807,0.1147507192270233,-0.32310286567987295,-1.0904431319480974,44,
16P13 11 COPY NUMBER VARIATION SYNDROME %WIKIPATHWAYS_20250810%WP5502%HOMO SAPIENS,0.9293893129770993,1,0.04688198568783333,0.23116938837471424,0.6582110382303445,24,
17Q12 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5287%HOMO SAPIENS,0.45517241379310347,0.7229668184775537,0.0762797180809272,0.31214525088872946,1.0088982235497888,47,
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5345%HOMO SAPIENS,0.5645933014354066,0.8101447269563841,0.08220549204158693,-0.25982885273420075,-0.9471293479706921,77,
1Q21 1 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP4905%HOMO SAPIENS,0.9412878787878788,1,0.045953808103906306,0.24421749980392754,0.6689847857932337,20,
2'-DEOXYRIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009394,1.9553372241814017e-5,4.084155495320251e-4,0.5756102610711286,-0.6888181067977863,-2.13330913079194,31,
2-HYDROXYGLUTRIC ACIDURIA (D AND L FORM)%SMPDB%SMP0000136,0.6012658227848101,0.8358167854848086,0.07235708510369071,-0.32597423352472094,-0.8989216538633334,20,
2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY%PATHWHIZ%PW000525,0.09978768577494693,0.324792256687525,0.20658792269689108,-0.4857188230258824,-1.3463384272534613,21,
2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY%PATHWHIZ%PW000061,0.9850467289719627,1,0.0432768714901103,0.1839286959036956,0.5359275068280955,26,
2-OXOGLUTARATE METABOLIC PROCESS%GOBP%GO:0006103,0.7219047619047619,0.9095017816650469,0.05846932103863807,0.3188763400173119,0.8053851211521118,15,
22Q11 2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP4657%HOMO SAPIENS,0.0027825473988192097,0.026980511950854328,0.4317076958033464,-0.4667857556810062,-1.6888267235087893,70,
22Q11 2 DISTAL CNV%WIKIPATHWAYS_20250810%WP5546%HOMO SAPIENS,0.8943781942078365,1,0.04345068267231251,0.21509077054468245,0.7877372831760511,105,
2Q11 2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5221%HOMO SAPIENS,0.5020833333333333,0.7667880703683342,0.08108020575508663,-0.3365640230731956,-0.9628477084835634,23,
2Q13 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5222%HOMO SAPIENS,0.7679245283018868,0.93484507261008,0.05513517633852569,0.27568224272461883,0.8162943971681793,30,
2Q37 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5224%HOMO SAPIENS,0.7172897196261683,0.9065373821153065,0.06863256318367258,-0.2435136307515161,-0.8844443922818911,74,
3'-UTR-MEDIATED MRNA DESTABILIZATION%GOBP%GO:0061158,0.1727447216890595,0.44137967921168375,0.1455161460903603,0.4819548712471398,1.2489582889565547,17,
3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY%PATHWHIZ%PW000063,0.9850467289719627,1,0.0432768714901103,0.1839286959036956,0.5359275068280955,26,
3-HYDROXYISOBUTYRIC ACID DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000521,0.9850467289719627,1,0.0432768714901103,0.1839286959036956,0.5359275068280955,26,
3-HYDROXYISOBUTYRIC ACIDURIA%PATHWHIZ%PW000498,0.9850467289719627,1,0.0432768714901103,0.1839286959036956,0.5359275068280955,26,
3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY TYPE I%SMPDB%SMP0000237,0.9850467289719627,1,0.0432768714901103,0.1839286959036956,0.5359275068280955,26,
3-METHYLGLUTACONIC ACIDURIA TYPE I%SMPDB%SMP0000139,0.9850467289719627,1,0.0432768714901103,0.1839286959036956,0.5359275068280955,26,
3-METHYLGLUTACONIC ACIDURIA TYPE III%SMPDB%SMP0000140,0.9850467289719627,1,0.0432768714901103,0.1839286959036956,0.5359275068280955,26,
