pathway	size	pval	padj	ES	NES	log2err	leadingEdge
2Q13 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5222%HOMO SAPIENS	26	0.6179337231968811	0.8422776768666747	0.3075841733636749	0.8901268622550406	0.06705125798294667	
2Q21 1 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5223%HOMO SAPIENS	8	0.6737044145873321	0.8641140490295237	0.3688169129628674	0.8182344323838877	0.06211241889494712	
2Q37 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5224%HOMO SAPIENS	69	0.5900990099009901	0.8269448977348631	0.26730119046524203	0.9434087284127517	0.07011321576425601	
3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE METABOLIC PROCESS%GOBP%GO:0050427	6	0.6719367588932806	0.8641140490295237	0.4236422722283603	0.8486323797508405	0.06364240816510186	
3'-UTR-MEDIATED MRNA DESTABILIZATION%GOBP%GO:0061158	14	0.2200392927308448	0.537328094302554	0.4775104354271749	1.2037476539747891	0.12878871306171366	
3'-UTR-MEDIATED MRNA STABILIZATION%GOBP%GO:0070935	14	0.19842829076620824	0.5144119183699318	0.4911738475373343	1.2381915091298739	0.13649043778041264	
3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY%PATHWHIZ%PW000063	26	0.949317738791423	0.9968775352216359	0.21407692880161122	0.619523504189108	0.04688198568783333	
3-HYDROXYISOBUTYRIC ACID DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000521	26	0.949317738791423	0.9968775352216359	0.21407692880161122	0.619523504189108	0.04688198568783333	
3-HYDROXYISOBUTYRIC ACIDURIA%PATHWHIZ%PW000498	26	0.949317738791423	0.9968775352216359	0.21407692880161122	0.619523504189108	0.04688198568783333	
3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY TYPE I%SMPDB%SMP0000237	26	0.949317738791423	0.9968775352216359	0.21407692880161122	0.619523504189108	0.04688198568783333	
3-METHYLGLUTACONIC ACIDURIA TYPE I%SMPDB%SMP0000139	26	0.949317738791423	0.9968775352216359	0.21407692880161122	0.619523504189108	0.04688198568783333	
3-METHYLGLUTACONIC ACIDURIA TYPE III%SMPDB%SMP0000140	26	0.949317738791423	0.9968775352216359	0.21407692880161122	0.619523504189108	0.04688198568783333	
3-METHYLGLUTACONIC ACIDURIA TYPE IV%SMPDB%SMP0000141	26	0.949317738791423	0.9968775352216359	0.21407692880161122	0.619523504189108	0.04688198568783333	
3-METHYLTHIOFENTANYL ACTION PATHWAY%PATHWHIZ%PW000656	15	0.5112936344969199	0.7807377675646205	-0.3756976730174739	-0.9658719403777326	0.07934349601349727	
3-PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000721	20	0.005379623066357086	0.051575237304140084	0.652489040607648	1.7666161671548084	0.40701791892395395	
3Q29 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP4906%HOMO SAPIENS	39	0.8208333333333333	0.9364918887601391	-0.24105866397122916	-0.7889298489508655	0.056648418361399534	
4 HYDROXYTAMOXIFEN DEXAMETHASONE AND RETINOIC ACIDS REGULATION OF P27 EXPRESSION%WIKIPATHWAYS_20250810%WP3879%HOMO SAPIENS	18	0.95783132530120485	0.9989203716677961	0.21732399147754633	0.5760591653025097	0.047829963311422925	
4-HYDROXYBUTYRIC ACIDURIA SUCCINIC SEMIALDEHYDE DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000243	20	0.5383064516129032	0.8013440610175797	-0.33720775711306594	-0.9470508110312018	0.07569463079327488	
4P16 3 COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5365%HOMO SAPIENS	24	0.20121951219512196	0.51728650576323	-0.41618077030864503	-1.2207964066507988	0.13802224249664274	
5-ARACHIDONYLGLYCEROL_BIOSYNTHESIS%PANTHER PATHWAY%P05726	5	0.9464285714285714	0.9968775352216359	0.27685092642423315	0.5321161576759857	0.047829963311422925	
5-HYDROXYTRYPTAMINE DEGREDATION%PANTHER PATHWAY%P04372	11	0.142570281124498	0.4377751100440176	0.5741330512507673	1.348751812992141	0.16565669520548273	
5-OXOPROLINASE DEFICIENCY%PATHWHIZ%PW000476	8	0.2380038387715931	0.5581632653061224	0.557714016994059	1.2373098849011197	0.12154328203546907	
5-OXOPROLINURIA%PATHWHIZ%PW000074	8	0.2380038387715931	0.5581632653061224	0.557714016994059	1.2373098849011197	0.12154328203546907	
5HT1 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04373	21	0.125	0.40984015984015987	-0.47169981730879434	-1.3408969097016266	0.17821987495197314	
5HT2 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04374	28	0.6101364522417154	0.8391400347495362	0.3045499149016747	0.8982162185747969	0.06767604016417887	
5HT4 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04376	11	0.4107142857142857	0.711952967806841	-0.43573841347995435	-1.0403937809346204	0.08943668337186206	
5Q35 COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5380%HOMO SAPIENS	71	0.021394849733878545	0.13913717997342678	-0.3917105410677622	-1.4409691503239446	0.35248785758361917	
5S CLASS RRNA TRANSCRIPTION BY RNA POLYMERASE III%GOBP%GO:0042791	5	0.6204819277108434	0.8438017372526778	-0.46249771036866943	-0.8834905752919059	0.06831108583186465	
7 OXO C AND 7 BETA HC PATHWAYS%WIKIPATHWAYS_20250810%WP5064%HOMO SAPIENS	13	0.9761904761904762	1	0.2063446118074711	0.5115435006133671	0.04641549568438488	
7-METHYLGUANOSINE CAP HYPERMETHYLATION%GOBP%GO:0036261	8	0.015243125310892593	0.10929041224096137	-0.7482313134420178	-1.6177580837723278	0.3807304007227924	
7-METHYLGUANOSINE MRNA CAPPING%GOBP%GO:0006370	6	0.8715415019762845	0.9626652040002801	0.31881638709914717	0.6386471016321826	0.0514264916187015	
7-METHYLGUANOSINE RNA CAPPING%GOBP%GO:0009452	6	0.8715415019762845	0.9626652040002801	0.31881638709914717	0.6386471016321826	0.0514264916187015	
7Q11 23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP4932%HOMO SAPIENS	79	0.6168958742632613	0.841613401143807	0.25547294214109306	0.9263563396343681	0.0675188953767744	
7Q11 23 DISTAL COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5401%HOMO SAPIENS	14	0.29469548133595286	0.6108572019439562	0.4501093530579581	1.1346727476037741	0.10882012676916121	
8P23 1 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5346%HOMO SAPIENS	28	0.43859649122807015	0.7324299293096987	0.3408042099276526	1.005141862588989	0.0847985102819124	
8Q11 23 RB1CC1 COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5412%HOMO SAPIENS	11	0.7811244979919679	0.9134147039464271	0.3160031519561607	0.7423537509007555	0.057246113520288446	
A4B7 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A4B7 INTEGRIN SIGNALING	6	0.875	0.9644431384072878	-0.31581550268146175	-0.6376488588415417	0.05216303054600547	
A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING	34	0.1905697445972495	0.5030428164355278	0.4034777432335679	1.2375040001341202	0.13959967345192228	
ABC TRANSPORTER DISORDERS%REACTOME DATABASE ID RELEASE 93%5619084	53	0.6572008113590264	0.8631184725411464	-0.2571088408985708	-0.8999445032393264	0.06598161440087301	
ABC TRANSPORTERS IN LIPID HOMEOSTASIS%REACTOME DATABASE ID RELEASE 93%1369062	9	0.13453815261044177	0.42497999698505284	-0.6083828958559749	-1.3752295549699851	0.17093233537005617	
ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 93%382556	69	0.05835010060362173	0.2731449116149006	-0.3703532158937765	-1.3659145897026497	0.26635065708852557	
ABERRANT REGULATION OF MITOTIC CELL CYCLE DUE TO RB1 DEFECTS%REACTOME DATABASE ID RELEASE 93%9687139	36	4.307055253932059e-5	9.487084123090616e-4	-0.6416569103595191	-2.0768997326209107	0.557332238758646	
ABERRANT REGULATION OF MITOTIC EXIT IN CANCER DUE TO RB1 DEFECTS%REACTOME DATABASE ID RELEASE 93%9687136	20	0.10685483870967742	0.3749439564987469	-0.4875071546119146	-1.3691679281385005	0.19381330272531053	
ABERRANT REGULATION OF MITOTIC G1 S TRANSITION IN CANCER DUE TO RB1 DEFECTS%REACTOME DATABASE ID RELEASE 93%9659787	17	7.937576696350733e-5	0.0016180824048088885	-0.7752456773724272	-2.0649171960621335	0.5384340963099162	
ABNORMAL CALCIUM HANDLING AND ITS EFFECTS ON MUSCLE CONTRACTION IN DMD%WIKIPATHWAYS_20250810%WP5343%HOMO SAPIENS	6	0.6996047430830039	0.8748169037840051	0.41027806093123753	0.8218614383692945	0.06170540536375225	
ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME%R-HSA-167242.4	22	0.242914979757085	0.5634246831887133	-0.40409896050407124	-1.1627073657097158	0.12384217120104962	
ACEBUTOLOL ACTION PATHWAY%SMPDB%SMP0000296	29	0.34509803921568627	0.6559527594821712	0.3596054684433562	1.0681657796406934	0.09889030075206362	
ACENOCOUMAROL ACTION PATHWAY%PATHWHIZ%PW000312	6	0.6935483870967742	0.8724514398051411	-0.4070469828681525	-0.82185023191391815	0.0630790410571939	
ACETAMINOPHEN ACTION PATHWAY%SMPDB%SMP0000710	11	0.15261044176706828	0.45028540894173036	0.5643155100153715	1.3256884716437927	0.1596467019199062	
ACETAMINOPHEN IN ANALGESIA AND ANTIPYRESIS%WIKIPATHWAYS_20250810%WP5444%HOMO SAPIENS	6	0.05928853754940711	0.2741380800138253	0.7391714214257232	1.4806945470970163	0.2616635217115731	
ACETAMINOPHEN METABOLISM PATHWAY%PATHWHIZ%PW000616	16	0.5395256916996047	0.8017159614359053	0.36451709606490507	0.9405790680807453	0.0745500777420554	
ACETYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0006085	12	0.48073022312373226	0.7645404259208961	0.4121256203057805	0.9899058632217494	0.08197787965012722	
ACETYL-COA METABOLIC PROCESS%GOBP%GO:0006084	21	0.125	0.40984015984015987	-0.4701724967801617	-1.3365552091076942	0.17821987495197314	
ACETYLCHOLINE NEUROTRANSMITTER RELEASE CYCLE%REACTOME%R-HSA-264642.6	9	0.5793650793650794	0.8226750175120525	0.3980570957567918	0.889767964704286	0.07113273993278939	
ACETYLCHOLINE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0095500	15	0.8521560574948666	0.9544225391985504	-0.2754605911997211	-0.7081748832319688	0.05423159354958409	
ACETYLCHOLINE REGULATES INSULIN SECRETION%REACTOME%R-HSA-399997.5	8	0.944337811900192	0.996375153222921	0.24577053214395572	0.5452513287690314	0.04641549568438488	
ACETYLSALICYLIC ACID ACTION PATHWAY%PATHWHIZ%PW000128	11	0.15261044176706828	0.45028540894173036	0.5643155100153715	1.3256884716437927	0.1596467019199062	
ACIDIC AMINO ACID TRANSPORT%GOBP%GO:0015800	17	0.027214828163811166	0.16289191373913964	0.6020167397478583	1.579519088477087	0.35248785758361917	
ACQUIRED PARTIAL LIPODYSTROPHY BARRAQUER SIMONS SYNDROME%WIKIPATHWAYS_20250810%WP5104%HOMO SAPIENS	5	0.44176706827309237	0.7347362422663628	-0.5535064698950144	-1.0573409090512664	0.08603472424556043	
ACRIVASTINE H1-ANTIHISTAMINE ACTION%PATHWHIZ%PW060826	7	0.6748466257668712	0.8641140490295237	-0.39157301930164656	-0.8203561756957367	0.06508775669173134	
