pathway	pval	padj	log2err	ES	NES	size	leadingEdge
SISTER CHROMATID SEGREGATION%GOBP%GO:0000819	2.8160558630226864e-19	7.701912785367047e-17	1.133089932009015	-0.6814557272009557	-2.7242390302835933	126	
MITOTIC NUCLEAR DIVISION%GOBP%GO:0140014	5.610995602143957e-19	1.4931314242894432e-16	1.1239149637448316	-0.6577501323581877	-2.6645786353701726	139	
DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION%GOBP%GO:0000724	6.11569419589756e-19	1.5846085540212467e-16	1.1239149637448316	-0.6959775658909555	-2.728346090782106	110	
HDR THROUGH HOMOLOGOUS RECOMBINATION (HRR) OR SINGLE STRAND ANNEALING (SSA)%REACTOME%R-HSA-5693567.4	9.007330901618484e-19	2.2740046168547585e-16	1.114664477517292	-0.7132439153587274	-2.7586028234161177	102	
POSITIVE REGULATION OF CELL CYCLE%GOBP%GO:0045787	1.867917435553378e-18	4.59787876761464e-16	1.1053365773140096	-0.5807869546804058	-2.501839442141636	219	
RECOMBINATIONAL REPAIR%GOBP%GO:0000725	8.827225174020574e-18	2.1198258308147946e-15	1.0864405425824981	-0.6828429525920615	-2.6845846796039883	115	
FANCONI ANEMIA PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FANCONI ANEMIA PATHWAY	1.866723547105949e-17	4.371987321079634e-15	1.0768681926198325	-0.8361426451654176	-2.7975877629127806	46	
REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:0033044	1.9093586716069904e-17	4.371987321079634e-15	1.0768681926198325	-0.5712338429067565	-2.460687774326275	219	
ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME%R-HSA-176187.4	4.4100211913426114e-17	9.86842469317258e-15	1.0672099868281106	-0.8774496843393721	-2.7711048147781634	36	
SEPARATION OF SISTER CHROMATIDS%REACTOME%R-HSA-2467813.4	8.582514865299081e-17	1.877854252527439e-14	1.0574635727508575	-0.620427900789172	-2.553275313079502	152	
AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME%R-HSA-141424.4	9.977668684818558e-17	2.0902154440579473e-14	1.0574635727508575	-0.7131189367794707	-2.6990811235801537	88	
AMPLIFICATION OF SIGNAL FROM UNATTACHED KINETOCHORES VIA A MAD2 INHIBITORY SIGNAL%REACTOME%R-HSA-141444.4	9.977668684818558e-17	2.0902154440579473e-14	1.0574635727508575	-0.7131189367794707	-2.6990811235801537	88	
REGULATION OF NUCLEAR DIVISION%GOBP%GO:0051783	1.135587442004625e-16	2.329373740411987e-14	1.047626488498816	-0.7116110855734005	-2.686724363959803	90	
DNA REPAIR PATHWAYS FULL NETWORK%WIKIPATHWAYS_20250810%WP4946%HOMO SAPIENS	1.3581975665847302e-16	2.7291455593047456e-14	1.047626488498816	-0.7023489318742567	-2.658655747061463	92	
MITOTIC SPINDLE CHECKPOINT%REACTOME%R-HSA-69618.4	2.303349470844898e-16	4.5357557779877723e-14	1.0376961554875836	-0.6778307947355078	-2.6350689803316363	105	
HDR THROUGH HOMOLOGOUS RECOMBINATION (HRR)%REACTOME%R-HSA-5685942.4	3.0355175707565856e-16	5.860334510131243e-14	1.0376961554875836	-0.7635546086158498	-2.7378268176041596	66	
EML4 AND NUDC IN MITOTIC SPINDLE FORMATION%REACTOME DATABASE ID RELEASE 93%9648025	5.199702795000823e-16	9.845437253765019e-14	1.027669870543582	-0.6943445243228625	-2.6283560439188283	92	
MEIOTIC CELL CYCLE%GOBP%GO:0051321	8.878459505133885e-16	1.649383250708457e-13	1.027669870543582	-0.6825278673360544	-2.6362551389258884	101	
NEGATIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0010948	1.5867607728493205e-15	2.8931938091619276e-13	1.0175447973098848	-0.5630232334214985	-2.411073235093473	207	
RHO GTPASES ACTIVATE FORMINS%REACTOME DATABASE ID RELEASE 93%5663220	2.605506879639449e-15	4.664331043078184e-13	1.0073179568744748	-0.656501078732922	-2.5683624136648833	111	
DNA-TEMPLATED DNA REPLICATION MAINTENANCE OF FIDELITY%GOBP%GO:0045005	2.715749633876412e-15	4.77486980270485e-13	1.0073179568744748	-0.7880935296282834	-2.7164468954037835	53	
