name	description	Ctl-1	Ctl-2	Ctl-3	Mub-1	Mub-2	Mub-3
A1BG-AS1	A1BG-AS1	3.698215119429139	4.023002351211082	3.40655214178776	3.376236256872821	2.6303525238521566	3.1909860677863007
AAAS	AAAS	87.42103353282816	83.24191035218675	89.59015155058383	76.7460704140403	73.16198269972652	70.16324787602407
AACS	AACS	36.3140865275558	33.0613757054315	36.47397547990589	34.66972606276278	37.29161078171041	33.83214144158969
AADAT	AADAT	20.375972335435385	18.724080092072857	16.924271787225813	16.838978331153193	14.403301320125921	16.300940876402308
AAGAB	AAGAB	64.92156993526895	71.77207386149983	74.40170251076579	64.31730069342723	68.13461537591232	71.08594264261289
AAK1	AAK1	49.19819081459926	58.29073619520738	57.84629305736413	72.16704999065654	71.88923147850772	74.41148836386006
AAMDC	AAMDC	3.7220745718125525	3.809012864444535	3.298063220074774	2.5110757160491604	3.1818780530469635	3.613887835806172
AAMP	AAMP	114.21519855940186	105.06883800237453	106.7530989655782	105.44407859745928	108.65052925137698	106.8788104632038
AAR2	AAR2	58.050047648845776	55.14509073973914	63.72639261420797	56.467551396197926	62.06783455476943	59.3023615609683
AARS1	AARS1	397.8563684934251	390.74480283571467	390.8421893632033	660.3285074145074	659.0305823470871	650.1730227152774
AARS2	AARS2	48.625563957397326	46.15753229554417	46.32476957144502	42.9837078453121	40.55833891617196	38.58017492799461
AARSD1	AARSD1	4.294701429014484	3.402432839588096	3.0159920236210103	4.663426329805583	1.951551872535471	3.4793281823453035
AASDH	AASDH	11.261661524971313	11.983411258926628	9.807398522853934	12.534277103640347	11.730523755566473	12.84083550169427
AASDHPPT	AASDHPPT	73.74956731713205	67.920263099702	72.96964874415437	61.78512350077262	68.34674057944878	77.08345862544016
AASS	AASS	216.02348187942854	221.4577198546994	207.66949394299778	213.61024767702227	199.56739148710557	219.12078425720506
AATF	AATF	123.04319594126497	128.05130888110168	127.12731846327698	117.99945717770508	119.808314957395	119.33518981215273
AATK	AATK	6.943100643573415	6.6336740897629545	8.462135893612906	9.601171855482084	8.803195946763266	9.3422845117117
ABAT	ABAT	136.90553777602838	128.6932773414013	137.91111728154777	100.61184045481005	104.49287526206228	102.01544013097528
ABCA1	ABCA1	3.8890907384964493	4.5579760681274495	4.382952437204634	8.0396625866784035	7.7213574087272985	6.843319518867006
ABCA2	ABCA2	156.25555365897696	153.4518609602908	148.86849837455938	159.33724984779167	156.824162974508	140.90317998116618
ABCA3	ABCA3	185.81741516202666	188.41774309794457	201.68090546444094	220.48932905040064	217.93743411336337	205.93393821804
ABCA5	ABCA5	8.04063545321045	8.94476054684166	8.939487149150045	8.609402455025693	6.766793992813209	9.380730126986233
ABCA7	ABCA7	18.180902716161317	15.878019918077781	17.0544584932814	10.69844863896575	9.100171231714317	9.303838896437165
ABCA8	ABCA8	4.700312119532518	3.894608659151154	4.035787887723078	3.8826716954037437	3.266728134461549	4.1905720649241776
ABCB10	ABCB10	39.01020464688156	37.25556964605582	38.27489158034145	29.626473154059	27.555063939386706	33.40923967356982
